tsne_x,tsne_y,tsne_z
-9.090614,4.802283,-6.2318196
6.549772,-5.663104,6.2363267
8.4931555,-5.226088,4.9083567
3.0634408,-1.174909,10.250736
6.4196568,-0.52930146,8.969441
9.882014,1.9843953,-2.485501
10.387688,-0.3597951,0.8329347
2.6626909,3.5108898,-8.715577
6.6617384,1.2277962,9.113476
3.0303953,3.4714146,-8.723233
6.626757,-1.6936975,8.22522
8.3747015,3.054567,-4.441657
8.422209,2.6187274,5.4451795
10.509944,-4.164217,1.7569975
6.757797,3.4615614,-6.656455
3.7715394,4.924603,9.06058
8.164782,-4.537619,-5.0676937
7.777718,-1.9665276,-7.079416
8.966048,-2.1334133,-4.8051424
-7.0871515,2.1786282,5.579206
-0.17231403,0.22098601,10.146295
-6.520628,-0.4479004,6.136297
8.361497,-3.7440073,-5.3285728
-5.247261,6.9924464,3.7198448
2.0492487,-8.451712,-3.6022828
-5.489092,-9.97645,-2.1460772
10.53416,-4.3302436,0.85873514
2.8625062,0.63735515,-9.247888
6.306089,-8.306366,-2.9218469
3.7241533,6.512815,-6.2792373
-8.375193,-2.2037823,5.0187864
-5.600857,-10.325183,-1.3266519
7.1594124,-7.150343,-4.0130067
2.4970055,7.2021184,-5.9310155
7.645802,-7.7620974,-2.4222949
-6.849695,1.2277267,-9.131018
-10.806514,1.1165323,4.1976843
-10.4661455,-0.23513715,4.2234983
3.5751848,-3.0330064,-8.435751
-12.644154,1.3691164,1.730344
9.026068,-6.9290476,2.8171544
5.710683,3.1944396,9.437235
2.5603123,-7.02575,-5.627229
7.806296,-4.964358,-5.212282
9.079311,-3.178412,-4.2177973
6.4343753,7.493713,3.8619285
-7.852219,8.396651,-2.301109
6.009006,7.9236617,3.3494582
2.0850368,-5.6404777,-6.797904
3.477158,-7.672419,-4.9106674
4.742308,8.500393,2.6299868
-10.439601,-3.9081366,2.068918
9.051482,2.9984467,4.072669
-7.2006893,8.002655,2.1205645
7.095982,2.5084345,-6.7785935
5.4088373,1.5566204,10.399136
-4.1129603,-8.274092,-3.9104073
10.35828,-1.7589145,1.4548874
5.987845,-0.50894976,-8.780363
4.3222365,2.732677,10.716395
6.254068,1.749634,-8.050346
-9.401153,3.2975926,-7.4227576
-11.161927,0.4709656,3.9183064
8.031246,-7.6041265,-2.22114
4.986065,-6.5822973,6.3976316
0.53531075,0.83245593,10.649824
4.110573,6.540592,-5.95882
-0.8688543,9.130242,0.44891277
10.27369,1.5457352,-1.7409713
-10.772627,-3.5802605,1.1370243
8.8875885,-6.2036176,3.826514
6.9253635,-9.067697,0.458091
3.5397205,6.206565,7.322782
9.415148,-6.1622806,3.1780405
10.331245,-4.4641366,-0.3913646
0.31750664,-0.38850415,10.198986
1.9820747,0.69904685,11.111603
-5.0769215,4.521307,-9.148421
2.102992,3.876255,-8.557924
-9.783467,3.4917028,-5.704681
9.591025,0.49826986,-3.4151168
7.0522165,-1.3231225,-7.920839
-10.378105,-7.221752,0.48880398
2.0588295,-8.447121,-3.6098716
2.5994089,9.073037,-0.4844704
-1.4590895,9.129941,-5.5101814
-1.5886302,-3.1468897,-7.6770988
10.416741,-0.4263737,0.0007263251
4.0528345,-3.9230962,-8.000938
5.603557,-2.1657727,-8.549542
-9.37866,-5.1512666,-2.90995
6.1281877,4.078317,-7.025641
8.291514,-6.6158943,-3.2107365
8.297478,-7.118125,-2.609897
-2.2460055,-8.227906,-3.7634444
6.397299,7.3527904,4.141399
7.0551996,-2.6428216,-7.696475
7.07898,-2.5111408,-7.7187657
10.436754,2.363709,0.13332495
9.362239,2.635913,-3.095056
7.6426644,-8.629741,1.6140442
4.417024,-1.6097159,-8.943977
9.813896,3.9261293,1.0366558
-7.587815,-9.080608,2.8376088
10.404277,-0.08220354,0.7028828
10.174648,-4.109528,-1.1894536
-11.989539,3.1175017,1.1114457
6.117738,4.3705096,-6.7724624
2.8420827,-5.251722,-7.2367907
2.2354898,3.3675003,10.914691
7.366068,7.2522817,3.0845096
4.123855,-8.107189,-4.226601
-11.891465,1.5503514,-1.4462965
-6.52065,9.484148,-1.4501467
0.49370384,2.25679,10.722534
0.6447389,2.6001613,10.727719
-0.20922399,0.95365256,10.260039
7.09122,-2.475272,7.316998
10.40214,-1.958698,1.3267316
-0.0067219436,3.0021646,10.1502
-5.080721,-10.053525,-2.1437263
10.320804,2.7024736,0.47105768
-2.3080993,9.676625,-4.2186556
-6.0528293,6.9189863,-6.988415
3.9957957,4.411536,9.548624
-8.393215,8.215844,-0.46131083
6.073377,-5.907975,6.337168
9.684479,1.2147917,-3.0992076
9.19204,3.1935215,-3.0132968
6.4356833,-7.546431,-4.247926
4.5771527,5.966235,-6.3954344
8.361506,-2.7895224,5.8040133
3.045866,-3.1831052,9.209547
9.56971,-6.353718,2.7556314
9.337991,4.8910956,1.8090119
5.8453493,-8.131318,-3.73725
8.026275,3.931657,5.2710686
8.13452,2.7613764,5.879314
1.962917,-0.22720587,10.76381
6.004101,4.2742085,-6.994379
7.5608478,1.8557838,7.2815
-11.791778,3.328422,0.7118194
8.95947,-1.6869861,-4.9318457
8.6176405,-4.107642,-4.613465
-11.571364,0.34316164,3.5366287
-6.888895,1.7579213,5.751452
-5.5452,8.5820675,1.9983675
7.0504823,-9.009073,1.3283011
7.2468724,-8.952753,0.67204183
5.6722584,-8.57711,-2.761357
-2.0043597,-10.214701,1.0195024
0.00049413845,-10.227981,1.2719897
-5.7444115,8.727782,-4.352447
3.1811712,4.11715,-8.418365
