umap_x,umap_y,umap_z
6.517351,6.7502527,0.6759344
9.953431,9.428502,8.210596
1.5803131,1.4561672,8.487944
1.3373032,1.1177112,8.007755
-0.21430099,7.6588197,7.4101467
-0.53255713,6.2265744,8.423153
6.2453694,4.8109403,-0.04599385
6.28787,4.714034,-0.034561314
6.280795,4.7996106,-0.045229107
0.97918653,1.2547356,8.386559
6.5591583,7.104348,0.816562
6.550643,4.755094,0.021936761
1.1288346,1.052,7.938633
2.6876347,11.188292,5.4989266
1.7683781,3.4643133,10.011577
1.0230477,1.0954604,8.029072
-0.4570134,7.778459,4.252614
-0.36796418,8.120849,4.4997096
5.4332533,5.329034,0.115921386
-0.21560168,8.712123,6.2689204
10.913789,7.8064504,4.4299498
11.821004,6.3963027,5.158439
0.8421994,7.6565,8.70483
-0.57224625,7.662001,4.4278
12.026808,0.9616188,5.779377
-1.4022949,4.996269,6.0651484
6.106742,4.309236,0.04372331
6.3575993,4.1863422,0.031339258
6.6267467,4.7518725,0.033137504
-1.1083494,5.328551,4.5249233
0.18448819,3.413402,2.8540854
0.90318656,1.2771953,8.452073
1.1097658,1.085433,8.113208
11.38266,8.172788,6.367002
2.183704,10.85878,6.0349236
11.99179,1.8380555,5.224979
11.715773,4.362483,4.511169
5.7102437,4.4330764,0.06667006
5.5556383,4.6291833,0.04559967
-0.81732476,5.3979845,3.7778742
1.2189429,0.5265965,6.084843
1.7546803,0.16949372,6.2652044
0.8098218,1.2300094,8.4359
-1.3911903,4.6830077,8.106727
1.7906945,1.9885794,9.110146
0.22265854,5.80437,9.46485
9.893031,9.48675,8.273154
10.538401,-0.44393492,5.063946
0.5095639,5.571873,9.622571
5.1214232,7.117315,0.26797947
10.191838,-0.91338855,5.2457314
10.05475,-0.9139433,5.063531
-0.6919835,3.4462354,3.9830432
-0.69158584,7.77877,5.2269373
1.6165255,0.12370161,5.652619
0.14024444,2.9048016,3.2012894
-1.152798,5.7851973,4.859508
1.7188063,3.7110305,10.071208
0.695825,9.640547,6.126145
0.5514484,8.160936,7.9607086
0.81131405,1.0734363,4.326725
11.688637,0.3291138,5.7942033
5.438506,5.32,0.11168861
-1.1565179,5.7017975,4.793129
1.511038,9.0952835,7.7911406
-0.7229982,7.7279763,5.398357
5.3417134,7.5103436,0.36286306
-1.3849,5.341645,6.1137037
-1.3889713,4.689089,8.106955
1.2728882,0.48397338,4.804457
-0.38429555,5.209982,9.296056
6.245595,4.977166,0.05670209
-1.3842554,5.3595743,6.153845
0.838951,0.8080884,5.3282804
1.1999902,1.677478,8.917353
0.7106409,3.3524382,2.4085848
4.3791127,7.595648,0.36766198
6.6004057,6.9977317,0.797869
0.7065086,7.963194,8.312389
-0.6759201,7.8211536,5.233743
7.288248,6.709894,0.99327594
0.76193106,3.2900724,2.401849
1.0357555,3.225923,2.2590134
-1.597521,4.8488736,6.8467135
1.7405024,10.227733,6.5550575
-0.7382229,7.123551,4.241448
10.274175,9.183314,7.9547324
6.570592,6.832621,0.72100145
0.551983,2.580734,3.06615
-1.4581387,4.2503076,7.4954348
-0.30328575,7.4044895,7.4685116
7.2631173,6.7162347,0.97702783
11.81605,6.896104,5.536355
0.89908034,1.2388322,8.40124
0.6734992,5.349471,9.701785
-1.49441,4.3414326,7.5163765
11.453006,1.0019605,4.8922105
12.719466,4.685449,6.0733824
12.138645,1.3540863,5.765432
-0.91982853,4.3941903,4.084565
12.400594,3.5848823,5.203374
1.198226,0.5852307,6.242124
1.4341571,0.26165968,5.566626
1.2482349,4.5876565,9.887069
0.81079274,1.0602045,4.345262
0.82205755,8.725101,7.7369914
-0.8422697,7.299876,5.8573923
1.3779187,0.37489396,4.922874
6.8993373,4.595368,0.11258923
0.96542495,0.73035467,4.897803
0.45366034,9.046534,7.0864687
0.6650727,1.0699207,4.508917
0.92066485,0.7887679,4.806893
12.101165,2.7816663,5.0020137
-0.70933694,6.0634575,8.32431
1.4794569,10.146562,6.4052505
-1.6089584,4.791133,6.97356
-0.47276652,2.3912153,4.281789
11.688083,7.402874,5.5712776
-0.6929296,6.21453,8.141153
-1.0752368,5.681282,4.4641633
0.5448302,8.225652,7.911538
-1.1293141,5.6328926,4.6235414
11.350142,0.58913994,5.060484
12.651596,4.4346905,5.376128
1.674287,0.1878909,6.133936
1.7127447,0.08259549,5.7161884
-1.0170792,6.422711,4.931286
0.82155824,7.243384,9.015818
-0.81374556,6.9199376,4.226103
-0.22358145,1.8146064,4.4914327
12.590753,4.3070836,5.300513
0.023920527,2.1842499,3.880905
-1.1040471,6.132026,5.0677943
1.3000787,1.7947263,9.05236
