tsne_x,tsne_y,tsne_z
-0.75795966,-9.9148445,-2.1999261
6.62375,-6.3991656,4.545116
-5.5827556,-3.1084485,-6.400377
-3.7408004,-0.8113864,8.135782
6.903657,4.742077,5.6501865
9.570465,3.6018925,-3.688075
6.3785973,-5.401176,-4.89038
-5.5237246,-0.5107742,7.2754397
-12.071407,-0.15829799,-2.0327532
7.4477987,5.1363583,-6.395715
3.1248653,0.6111337,-8.747938
9.612181,3.4124403,-3.7437596
-6.9508786,9.963509,2.1636882
-11.331067,2.8487108,-3.5908844
-8.22466,9.610905,-2.2321925
10.733129,-0.49330148,3.48477
-11.609277,5.57793,-0.6717577
5.6347017,7.8815556,-2.4526155
3.8330884,8.729896,-0.97442544
1.7660391,1.674104,-8.496769
6.360167,7.6381907,2.5870912
2.987001,-7.9315863,-4.848273
7.8642178,-6.435649,-0.60923797
2.8445516,9.066304,0.8391226
-3.3807495,4.2121696,9.031312
5.521389,8.353889,0.9372869
3.8699949,-9.072849,-3.8929
6.6446953,7.73644,1.7201788
5.4369497,8.360615,1.3393278
-10.096435,7.3296757,1.316329
7.933457,-2.719371,-6.219173
0.5815761,-10.388412,-1.5115665
10.292209,0.940162,-2.489959
10.101667,3.970179,1.2386911
-11.905954,-1.4753276,-2.8736093
8.1518955,-3.1508644,-5.1796
9.84976,-3.5672066,3.1615145
4.507889,-6.8486114,-5.1497445
9.9920435,-3.4966955,2.6262841
-5.6748743,10.912212,1.1545696
-12.551176,3.2792199,-1.2968341
3.3336449,8.291128,-2.7399585
1.9839538,9.087841,-1.3544637
8.889725,-5.1514606,1.5911081
3.5790632,-3.6597183,-7.847557
7.291538,-6.171779,4.211646
9.18911,5.7717323,0.7555253
-12.4611435,3.7299638,-1.1122755
9.044211,5.112718,3.1477113
9.538264,-4.127151,1.0090048
4.0289025,4.461146,-7.919348
7.353839,-5.5999217,4.900478
7.0191355,-3.109835,-6.6653523
7.8935785,-2.9263415,-6.0215917
8.384008,-3.5671148,5.7172475
8.983093,-4.830016,3.2735586
-5.226274,11.354313,-1.3521476
5.3621745,-2.7048566,-8.028483
-1.2812988,-7.916399,-4.06769
10.073913,0.124471925,-4.1477103
-1.111709,-2.8884778,8.191483
5.1054683,6.659271,4.717629
6.4862475,4.0924435,6.2747836
-13.085269,-3.0048337,-0.9607065
7.552468,-5.0289955,-3.5193124
4.237518,5.0863748,-7.4972258
-0.3289766,1.734517,9.424627
-2.5787272,11.450077,-1.7334324
0.06871245,-4.4386134,-7.069758
-5.3389244,-2.1739612,6.775511
-4.373341,-3.0460835,6.923999
-11.038953,2.8276045,2.5048957
8.987769,5.9032016,1.2125392
10.471128,2.8018742,1.2137549
5.8556466,7.8044195,-2.423494
-5.561114,-3.0724351,-6.4253306
3.4309413,8.9268875,0.32159713
2.8570144,-6.329396,-6.0630035
9.037952,-4.5250177,-0.18922022
3.1675196,8.850473,-1.0928532
7.5834775,7.1364636,1.3824645
10.145513,3.7199256,2.50037
5.142222,7.1994934,-4.800891
3.5127115,-3.4804084,-7.9508944
-8.694059,-5.637287,2.4244711
5.7396736,-6.100634,-4.8999834
-1.4704295,-0.36013362,8.892616
-10.259252,4.048874,-4.6346617
